column_name,field_path,data_type
Africa_icons,Africa_icons,INT64
Americas_icons,Americas_icons,INT64
Animals_actions,Animals_actions,INT64
Appeal,Appeal,INT64
Asia_icons,Asia_icons,INT64
Association_actions,Association_actions,INT64
Association_workers,Association_workers,INT64
Australia_icons,Australia_icons,INT64
Bear_icons,Bear_icons,INT64
Bird_icons,Bird_icons,INT64
Build_actions,Build_actions,INT64
Built_enclosures,Built_enclosures,INT64
Built_kiosks,Built_kiosks,INT64
Built_pavilions,Built_pavilions,INT64
Built_unique_buildings,Built_unique_buildings,INT64
Cards_actions,Cards_actions,INT64
Cards_drawn_from_deck,Cards_drawn_from_deck,INT64
Cards_taken_from_reputation_range,Cards_taken_from_reputation_range,INT64
Conservation,Conservation,INT64
Conservation_project_association_tasks,Conservation_project_association_tasks,INT64
Covered_hexes,Covered_hexes,INT64
Discarded_cards,Discarded_cards,INT64
Donation_association_tasks,Donation_association_tasks,INT64
Empty_hexes,Empty_hexes,INT64
Europe_icons,Europe_icons,INT64
Game_result,Game_result,INT64
Herbivore_icons,Herbivore_icons,INT64
Map,Map,STRING
Money_gained,Money_gained,INT64
Money_gained_through_income,Money_gained_through_income,INT64
Money_spent_for_playing_cards_from_reputation_range,Money_spent_for_playing_cards_from_reputation_range,INT64
Money_spent_on_animals,Money_spent_on_animals,INT64
Money_spent_on_donations,Money_spent_on_donations,INT64
Money_spent_on_enclosures,Money_spent_on_enclosures,INT64
Number_of_breaks_triggered,Number_of_breaks_triggered,INT64
Number_of_turns,Number_of_turns,INT64
Partner_zoo_association_tasks,Partner_zoo_association_tasks,INT64
Petting_Zoo_icons,Petting_Zoo_icons,INT64
Played_animals,Played_animals,INT64
Played_sponsors,Played_sponsors,INT64
Predator_icons,Predator_icons,INT64
Primate_icons,Primate_icons,INT64
Released_animals,Released_animals,INT64
Reptile_icons,Reptile_icons,INT64
Reputation,Reputation,INT64
Reputation_association_tasks,Reputation_association_tasks,INT64
Rock_icons,Rock_icons,INT64
Science_icons,Science_icons,INT64
Score,Score,INT64
Sea_Animal_icons,Sea_Animal_icons,INT64
Snapped_cards,Snapped_cards,INT64
Sponsors_actions,Sponsors_actions,INT64
Starting_position_in_first_round,Starting_position_in_first_round,STRING
Thinking_time,Thinking_time,STRING
Triggered_end_of_game,Triggered_end_of_game,BOOL
University_association_tasks,University_association_tasks,INT64
Upgraded_Animals_action_card,Upgraded_Animals_action_card,BOOL
Upgraded_Association_action_card,Upgraded_Association_action_card,BOOL
Upgraded_Build_action_card,Upgraded_Build_action_card,BOOL
Upgraded_Cards_action_card,Upgraded_Cards_action_card,BOOL
Upgraded_Sponsors_action_card,Upgraded_Sponsors_action_card,BOOL
Upgraded_action_cards,Upgraded_action_cards,INT64
Water_icons,Water_icons,INT64
X_Tokens_gained,X_Tokens_gained,INT64
X_Tokens_gained_instead_of_action,X_Tokens_gained_instead_of_action,INT64
X_Tokens_used,X_Tokens_used,INT64
arena_rating_delta,arena_rating_delta,INT64
concede,concede,INT64
determinations,determinations,INT64
elo,elo,INT64
elo_delta,elo_delta,FLOAT64
end_game_triggered,end_game_triggered,BOOL
game_ended_at,game_ended_at,TIMESTAMP
is_alt_map,is_alt_map,BOOL
is_beginner_map,is_beginner_map,BOOL
is_map_pack_1,is_map_pack_1,BOOL
is_map_pack_2,is_map_pack_2,BOOL
is_mw,is_mw,INT64
opponent_elo,opponent_elo,INT64
player,player,STRING
player_id,player_id,INT64
opponent_id,opponent_id,INT64
post_match_arena_rating,post_match_arena_rating,INT64
post_match_elo,post_match_elo,FLOAT64
pre_match_arena_rating,pre_match_arena_rating,INT64
pre_match_elo,pre_match_elo,FLOAT64
table_id,table_id,INT64
total_breaks,total_breaks,INT64
url,url,STRING
action_1,action_1,STRING
action_2,action_2,STRING
action_3,action_3,STRING
animals_action,animals_action,STRING
sponsors_action,sponsors_action,STRING
assoc_action,assoc_action,STRING
build_action,build_action,STRING
cards_action,cards_action,STRING